date,time,code,pop_total,pop_man_0_9,pop_man_10_14,pop_man_15_19,pop_man_20_24,pop_man_25_29,pop_man_30_34,pop_man_35_39,pop_man_40_44,pop_man_45_49,pop_man_50_54,pop_man_55_59,pop_man_60_64,pop_man_65_69,pop_man_70_over,pop_woman_0_9,pop_woman_10_14,pop_woman_15_19,pop_woman_20_24,pop_woman_25_29,pop_woman_30_34,pop_woman_35_39,pop_woman_40_44,pop_woman_45_49,pop_woman_50_54,pop_woman_55_59,pop_woman_60_64,pop_woman_65_69,pop_woman_70_over
20181024,23,11680730,20899.9491,530.7591,372.795,515.9869,459.447,726.3961,682.696,743.4331,729.1351,716.8618,759.1733,909.0547,710.9248,569.9204,1208.6159,517.7352,284.2261,391.974,619.8385,824.421,739.1918,843.162,736.8971,835.1579,915.425,1100.5138,1055.6962,836.8005,1563.7115
20181024,23,11680740,15337.1256,429.2785,274.8191,526.9341,458.741,436.5859,514.1168,597.2493,522.9586,679.3497,612.0061,552.1774,544.953,354.7053,680.6815,534.8803,297.1555,341.7225,349.2437,445.056,605.0026,716.4792,625.5125,777.3289,633.3437,707.7573,624.3707,391.1493,1103.5678
20181024,23,11680750,20916.6877,720.8418,229.3585,401.6174,413.857,590.7793,745.1172,986.6189,818.5334,892.2659,693.3592,719.1165,813.2924,637.053,1179.1101,606.3543,210.4576,400.0259,404.6268,694.0767,865.2271,930.7322,683.243,595.266,707.2105,923.0242,1062.1785,935.9527,2057.3926
20181024,23,11710510,18253.1042,614.626,313.3144,397.6121,506.7556,587.4031,658.7489,741.9001,665.1144,778.213,639.2483,781.4034,714.3577,419.8659,837.9534,575.463,304.1736,442.7447,467.595,581.9815,706.9661,697.1626,686.6278,761.1414,752.9484,898.272,830.6368,631.7446,1259.1295
20181024,23,11710520,35402.3889,1651.4172,780.9597,653.8267,761.9617,1327.4713,1171.0854,1395.0511,1262.7991,1361.4745,1109.2629,1015.0644,1082.9483,762.5853,1528.5429,1470.5395,744.4676,685.4771,1341.4239,1709.1022,1590.0826,1701.7585,1454.2734,1341.4183,1196.8715,1544.8555,1488.911,1098.899,2169.8573
20181024,23,11710531,12979.4239,443.1586,312.8171,444.8514,391.8717,381.2758,422.0197,479.6262,491.8284,537.0822,547.4892,576.8164,437.1659,352.4356,617.3606,326.5892,207.6812,309.2198,372.3209,381.2672,376.0747,410.5282,485.5745,595.6048,545.3592,618.412,575.03,344.7192,995.2425
20181024,23,11710532,15746.0082,545.2871,348.5177,458.0941,384.3717,385.4286,441.0053,676.8804,529.9731,669.6534,577.0515,544.7105,497.7327,448.8343,807.8124,493.2967,251.8338,395.2438,347.5695,428.3306,572.4783,675.7929,501.9735,747.1256,721.7408,748.879,714.0131,521.8085,1310.5699
20181024,23,11710540,14705.7929,495.4157,282.4635,373.9495,396.0302,403.3798,417.8758,441.2218,544.1956,623.83,631.7799,658.6402,526.6115,376.9121,820.581,555.2099,299.2935,350.516,381.8768,387.3424,396.2373,505.6639,476.4328,643.8715,600.0956,642.6678,660.0707,601.1311,1212.4971
20181024,23,11710550,17073.7454,516.2068,309.7237,477.2571,521.1093,552.8467,506.4393,663.4427,698.2448,673.0182,594.9826,779.8751,607.6178,469.2041,839.7905,467.7587,265.7721,389.5674,446.4642,447.4414,576.427,595.5773,538.0434,641.37,724.2378,965.3655,736.1074,607.2171,1462.6369
20181024,23,11710561,17851.7169,723.4895,443.6817,676.8591,476.1291,553.4546,526.9453,642.3855,657.4593,829.3631,624.6492,697.8491,498.5548,448.0486,696.7857,696.2143,483.7712,513.8577,564.0348,611.1248,550.4359,672.4422,727.6491,886.0724,760.9629,774.8803,614.3423,493.7662,1006.5083
20181024,23,11710562,37355.9666,888.583,350.7571,749.794,1272.6649,1744.4914,1958.0786,2110.3492,1673.848,1524.2627,1123.1922,1212.3138,1037.1616,841.6382,1291.5945,810.7152,326.9922,634.1135,1421.669,1996.8479,2221.2057,1757.9199,1399.3312,1436.1353,1322.5406,1631.6344,1387.2917,946.5913,2284.251
20181024,23,11710566,19507.6495,570.4599,589.5493,968.9393,683.0619,440.5253,311.9194,446.8384,631.3684,844.3879,791.4145,692.7954,668.8046,531.0348,948.013,529.2902,530.0482,730.4965,588.5686,513.7137,409.5643,698.419,810.3988,1032.5459,814.2356,769.7468,847.4829,596.7786,1517.2492
