date	time	code	pop_total	pop_man_0_9	pop_man_10_14	pop_man_15_19	pop_man_20_24	pop_man_25_29	pop_man_30_34	pop_man_35_39	pop_man_40_44	pop_man_45_49	pop_man_50_54	pop_man_55_59	pop_man_60_64	pop_man_65_69	pop_man_70_over	pop_woman_0_9	pop_woman_10_14	pop_woman_15_19	pop_woman_20_24	pop_woman_25_29	pop_woman_30_34	pop_woman_35_39	pop_woman_40_44	pop_woman_45_49	pop_woman_50_54	pop_woman_55_59	pop_woman_60_64	pop_woman_65_69	pop_woman_70_over
20181001	09	11170530	29398.531	259.3183	125.1257	576.8942	1271.1263	1322.8132	1595.5796	1871.1839	1751.0995	1501.8695	1219.1428	1027.5367	807.5158	612.7557	1134.3129	165.2823	75.2506	500.8449	1522.8274	2028.1554	1691.23	1538.6608	1179.6798	1181.7844	850.3859	930.3718	806.92	560.4428	1290.4197
20181001	09	11170555	27894.3995	621.4052	447.4115	1394.8242	835.18	995.8402	805.0337	1064.5276	867.1055	1066.2667	834.7563	799.9802	674.3486	487.1129	1119.8547	748.8462	405.9012	1455.8525	3321.8667	1535.3453	1088.531	915.7546	907.0075	929.0622	834.2637	892.5045	816.2478	502.9291	1526.6394
20181001	09	11170560	21704.8527	604.3448	193.1044	473.7893	886.9145	959.535	1036.7779	1317.4281	1089.7856	1047.5644	804.3525	594.3135	503.8587	335.366	850.3764	733.4815	217.2017	337.3564	793.7372	1040.2715	1094.0766	1132.6291	946.3261	1029.4827	740.613	700.1517	609.0378	442.5263	1190.4487
20181001	09	11170570	12328.2752	245.3649	109.7126	103.0915	224.7265	452.1999	622.7566	724.5492	694.7218	725.1337	436.0251	421.1299	397.2878	257.2247	430.3668	472.1744	377.8996	525.4228	319.7939	430.2253	451.2778	491.4486	465.4934	456.6143	352.6412	434.925	429.1969	270.3195	1006.5498
20181001	09	11170580	11327.8453	455.0301	268.6968	467.5884	220.9501	298.5637	370.6368	318.5388	312.0034	440.0349	338.8066	360.554	311.5698	200.9475	604.6564	524.9278	247.6657	384.6117	776.5781	435.8421	374.5361	427.214	424.1443	408.2993	403.864	414.8224	368.5167	309.9725	858.2738
20181001	09	11170590	8446.479	214.1984	96.7612	92.8798	221.5155	317.0321	322.5905	387.7597	347.4063	373.0641	281.1447	332.9066	239.4465	179.4261	510.8286	180.4585	79.5049	172.2024	234.3681	278.1598	349.5633	381.1745	359.4117	364.1741	356.2441	315.7674	348.7674	279.8275	829.8951
20181001	09	11170625	62801.9549	751.0626	316.9037	1236.3466	2098.6805	3139.7101	4140.4168	4461.8015	3853.1161	3607.5439	2405.9443	2103.1242	1771.6014	1058.0341	2403.4904	715.3701	266.2587	810.3165	2188.7334	3622.343	3554.8847	3268.7143	2708.8632	2683.3755	1989.7626	1822.6668	1574.7182	1155.8164	3092.3561
20181001	09	11170630	27340.9045	1207.4637	648.5116	610.1691	516.6337	542.3264	743.0959	877.533	1071.5503	1148.8	925.6848	862.9247	689.1813	659.6109	1378.8116	1021.9724	527.8918	500.324	734.7387	978.0548	1047.5444	1149.1657	1303.6662	1209.2119	1063.5937	1196.2874	1170.3671	802.1854	2753.6038
20181001	09	11170640	7650.9094	163.3581	57.1307	40.0033	174.7893	263.154	337.7071	422.411	452.267	423.1371	343.9011	315.1968	272.6864	224.4917	419.302	95.618	43.4627	66.5541	180.3537	249.7936	276.9463	301.0973	322.7683	367.394	234.7733	321.109	295.6616	227.3358	758.5072
20181001	09	11170650	11762.8805	97.3996	52.1558	302.7811	745.7695	683.0839	616.9694	691.1541	505.2956	501.4681	460.1812	419.5407	342.4362	233.9492	603.4246	162.5283	72.2349	133.8769	439.9174	666.7707	565.481	554.1356	438.1265	441.0835	349.2517	364.2983	360.5222	215.1942	743.8493
20181001	09	11170660	10756.9293	120.5035	54.6467	331.972	263.1944	494.6347	573.9094	636.7232	491.9831	423.2586	378.885	296.841	306.8905	238.267	608.6218	210.9472	103.9225	242.8358	290.345	507.2949	619.7609	560.5512	445.1015	443.7141	287.0836	353.2227	282.1634	360.121	829.5351
20181001	09	11170685	37666.6122	492.5229	211.4167	299.0156	1030.1152	1657.7217	2145.1853	2345.9483	1984.801	1881.9741	1415.5973	1320.1536	971.8796	606.291	1418.3747	586.8041	262.491	384.8406	1326.008	2401.3623	2387.4088	2242.7773	1714.4182	1657.1729	1115.5332	1162.3061	1125.2801	795.4596	2723.7518
20181001	09	11170690	19898.8552	663.1427	478.2028	428.8345	430.5322	601.236	619.0218	784.9251	813.0802	1146.1993	830.4578	735.3753	628.4757	415.9997	1203.2933	783.2385	500.4015	260.6704	495.4886	666.3198	615.6159	849.802	785.4914	925.1025	716.2861	691.7843	619.2632	428.4275	1782.1872
20181001	09	11170700	10488.0054	187.5188	127.361	333.6471	483.8597	572.2108	558.0204	582.3576	364.9325	483.2702	354.4615	358.5916	310.6057	184.2394	392.4402	190.1712	121.3592	135.7496	325.6636	472.6722	443.8051	476.9325	351.383	384.8207	361.1381	367.0227	409.6212	382.1818	771.967
20181001	09	11200520	11566.4263	323.7555	157.6304	165.5111	333.7738	455.8201	356.528	439.8451	312.4816	334.7701	304.4851	317.3024	307.203	259.508	490.5612	508.9815	250.0119	197.1945	380.175	462.318	581.7755	545.3746	511.155	541.2894	515.074	613.7509	496.1772	360.9756	1042.9969
20181001	09	11200535	19699.4292	437.0287	126.4815	333.988	732.3147	725.5186	672.7878	729.3339	741.9939	813.4158	692.2684	728.8315	547.8111	412.5761	841.6191	562.377	163.167	338.0359	794.5257	901.663	916.5829	984.2467	758.7485	871.269	870.6112	931.2638	789.9165	608.1963	1672.8568
20181001	09	11200540	29372.9991	894.9847	487.13	457.2652	1082.7931	1159.1861	1108.7036	1108.1881	1168.3793	1365.6405	1039.3448	1253.2117	952.3074	726.29	1506.0166	906.2332	503.874	800.6786	1300.0401	1016.4075	975.3365	1010.9619	880.8856	1127.978	1047.0951	1177.5147	1024.0533	757.0871	2535.4109
20181001	09	11200550	35463.4118	819.5403	373.6137	2114.7247	4574.0529	2886.7586	1052.1311	827.3292	796.4458	997.1143	811.8363	924.3774	589.0104	403.8387	833.802	776.7387	371.4836	2624.4218	4451.8668	1637.3928	975.4841	921.6045	844.4506	954.1251	747.0569	768.1826	603.6851	472.917	1309.4276
