time,code,pop_total,pop_man_0_9,pop_man_10_14,pop_man_15_19,pop_man_20_24,pop_man_25_29,pop_man_30_34,pop_man_35_39,pop_man_40_44,pop_man_45_49,pop_man_50_54,pop_man_55_59,pop_man_60_64,pop_man_65_69,pop_man_70_over,pop_woman_0_9,pop_woman_10_14,pop_woman_15_19,pop_woman_20_24,pop_woman_25_29,pop_woman_30_34,pop_woman_35_39,pop_woman_40_44,pop_woman_45_49,pop_woman_50_54,pop_woman_55_59,pop_woman_60_64,pop_woman_65_69,pop_woman_70_over
23,11110710,13753.822575,265.22565,132.612775,206.129775,457.041875,653.930875,695.116275,694.938125,481.422975,604.6939,603.232975,634.076975,540.98835,350.843925,541.942925,252.108525,104.809,251.35865,742.4609,798.4732,658.28455,645.189,436.1176,483.907775,481.556475,559.951575,406.575425,332.03725,738.795425
23,11140520,9460.67845,256.975025,37.3782,61.462975,288.504275,467.3335,616.514125,763.2683,650.347775,636.88785,446.715375,416.94095,331.230025,232.99015,311.573575,109.84345,53.6735,425.357125,245.1043,370.311475,436.590875,410.4571,363.0684,368.86195,219.093075,255.0518,236.9993,99.3941,348.74985
23,11140540,9938.882625,139.3723,58.369525,70.3231,273.919025,366.962625,613.170475,634.3197,633.332125,539.645,518.7885,514.3916,395.3505,288.734325,326.322325,136.893225,48.648125,88.30395,233.670175,341.262075,450.497425,468.811775,384.508725,421.5743,337.167325,441.0315,366.392575,291.272875,555.847875
23,11140550,11497.336725,177.590475,54.26375,93.421175,445.647225,651.887775,773.45235,874.971275,728.7519,816.22415,525.83725,476.4063,433.6023,260.563475,439.870225,197.43535,75.936725,164.934175,539.425625,649.542825,458.17405,465.045725,318.92955,408.6008,296.453175,297.3829,269.4304,180.88905,422.66665
23,11140570,9855.667575,254.352875,84.784275,388.7855,959.27515,588.267025,428.3007,486.909675,411.41505,465.808825,388.941325,396.64155,254.4567,224.765775,312.87845,135.2668,63.805125,343.9436,813.6335,394.610525,302.625725,270.058475,186.45895,269.522475,206.446575,263.7836,196.44235,164.102475,599.384275
23,11140580,7732.128325,91.200725,52.556525,192.952075,614.578625,491.99425,354.75045,394.92595,314.32035,300.62995,259.449075,261.9497,225.3124,161.1212,213.36865,57.96535,33.72535,243.266,765.48095,439.900425,312.701225,305.3172,208.80225,214.449375,221.95815,223.44645,192.45965,178.329675,405.2162
23,11140590,18975.207025,127.5292,61.615075,266.457675,921.54195,1113.605,1204.5801,1232.988125,907.37115,883.05115,709.759825,721.4331,524.133175,359.814775,487.938925,149.352125,82.58295,306.26425,1190.676125,1258.146975,1029.879125,866.3553,728.422575,651.96975,648.3416,686.638,622.49715,428.26495,803.997575
23,11140605,8424.050875,114.36785,46.594275,66.125775,281.183275,338.952675,441.482375,442.2308,419.013925,613.86145,484.49765,500.613975,387.1005,276.6251,476.145525,113.003475,49.131975,80.452,312.231025,379.111275,314.777425,230.428775,195.807325,245.589575,225.761325,325.259925,284.417025,192.836725,586.44795
23,11140615,35738.14065,174.71795,127.31385,302.43525,2271.403125,2211.852,2634.969025,2511.854175,1560.4944,1358.743025,1020.455175,951.197625,669.64235,408.23545,715.25755,327.317375,141.02495,342.95515,1670.433075,2098.36975,2072.024075,2478.298475,1737.270775,1797.75265,1322.531,1486.03045,1186.1629,632.5416,1526.857025
23,11140625,16325.756775,388.599875,214.67345,394.2658,550.062925,684.30745,742.637525,783.536925,612.201375,690.05705,575.596175,541.030475,461.703975,396.4746,783.1808,386.342825,185.683575,386.165525,658.87185,749.382725,680.5774,608.110025,572.566275,608.5066,566.57855,591.998475,694.051975,428.624075,1389.968625
23,11140635,18663.697375,556.525675,201.363875,280.379225,348.1984,539.74665,635.9817,860.347125,695.2777,712.16935,556.25265,612.92905,614.099475,525.048725,1107.944,571.3085,218.9877,319.013475,473.1598,657.557175,857.287425,946.773925,818.01645,733.1439,603.0345,863.291975,822.458675,631.10195,1902.299125
23,11140645,14028.881675,516.11925,245.86815,261.756975,340.8206,478.21825,542.94805,574.8888,522.695425,500.579225,460.65005,476.952925,446.0949,271.4861,789.788475,344.7542,174.994075,305.59765,427.058575,557.807925,705.2858,674.7041,531.263675,537.8767,539.966425,582.51175,485.196075,385.135775,1347.8621
23,11140650,12357.60825,354.408825,163.928725,232.865875,379.341925,431.5738,530.59685,626.659125,441.94205,527.149525,484.502325,449.479125,384.495325,258.30385,521.687275,498.3695,195.468075,198.94155,485.209125,513.335075,566.1778,559.9546,427.238475,481.12125,496.056925,487.463,469.243925,338.321,853.77365
23,11140665,9561.45055,351.864775,171.95175,149.274475,263.40395,353.0949,345.00055,390.50785,376.124925,401.819425,372.7698,369.095325,283.924525,227.264,425.878,302.572775,177.24275,225.865325,330.119825,368.842175,356.42915,425.7915,329.9387,394.3965,372.4207,392.966125,351.584775,286.14595,765.1599
23,11140670,13161.201575,301.478325,79.5357,183.476175,397.712175,551.910975,709.201675,665.867375,491.74515,563.011575,415.64495,497.695875,349.2193,237.610825,568.718875,468.3972,120.9841,228.431275,584.2461,706.781175,774.0276,598.1646,435.3125,485.003775,395.05915,564.791025,493.00815,330.61105,963.55485
23,11140680,7053.2463,110.95745,37.85885,89.576025,155.093325,259.83685,313.0613,468.65145,371.365175,338.010275,319.001525,295.842325,227.0411,200.791025,372.425675,173.332425,67.293675,115.30785,182.103825,257.7479,371.036675,347.060275,286.371925,270.351875,207.64235,234.42755,239.7342,217.732775,523.590375
23,11170510,16094.6971,368.013825,203.391075,376.0096,448.629525,580.1813,706.9345,677.56465,618.360825,677.624775,595.059875,537.307925,476.096025,340.612575,772.611925,511.53675,270.34535,315.806075,510.317525,680.8177,746.766725,726.21775,695.4131,612.4174,537.8154,671.194975,596.600225,412.414025,1428.635975
23,11170520,11864.060975,203.576025,109.4572,187.42,526.600375,596.979975,645.1569,697.12965,533.87215,426.097925,322.148575,348.6535,388.49675,271.4076,488.8992,207.454825,117.257225,216.516625,398.249,649.2718,703.920525,608.871025,425.452925,401.53855,300.748125,414.2438,421.882475,288.4323,964.326625
23,11170530,11660.461925,190.37695,91.86035,239.79325,723.51075,620.231475,610.06075,585.8436,560.515825,619.5603,526.769125,525.373825,387.95175,310.9744,480.230925,152.684525,69.514875,225.3172,665.392525,604.63935,472.292575,445.037975,355.62985,401.47335,332.2103,372.426675,318.7428,212.686225,559.36065
23,11170555,25349.429,501.777925,361.279775,780.478,905.71465,1068.98,1057.6648,1067.60715,796.93365,886.636825,740.645875,740.437625,539.02665,412.52455,1000.783175,493.43465,267.458725,1097.77475,2641.0091,1622.21165,1155.92395,993.3647,895.676125,803.627725,755.617,879.523425,696.3443,516.60495,1670.366125
23,11170560,16345.2007,636.4321,203.35705,317.10615,633.027475,643.429575,839.9766,989.286825,804.9093,732.7606,466.745775,465.18945,353.630575,249.794975,496.0353,571.04565,169.100375,253.24325,542.258,912.876325,1103.183325,1024.90125,708.52925,597.026025,462.8823,581.782225,459.00555,347.968,779.71745
23,11170570,13937.774275,491.25295,219.65945,294.883575,287.40005,390.80655,471.04965,646.83895,549.522125,656.761875,474.112275,503.115725,387.0436,330.82715,614.057825,433.369725,346.84295,400.8292,436.7509,493.02225,547.885975,611.250125,636.378425,604.99485,492.5006,538.09135,531.648,393.01085,1153.867675
23,11170580,9228.980375,233.66005,137.97705,281.90975,197.650675,286.0707,398.826625,343.5665,358.2017,326.476825,245.7077,279.606775,214.835675,178.510725,476.71705,445.599775,210.23805,305.584475,459.2317,413.469475,382.90185,408.626225,355.8488,339.68635,315.20025,339.404875,275.216175,232.98185,785.27245
23,11170590,12633.271225,451.081525,203.76995,293.896675,288.577875,411.279475,519.79815,554.4583,544.334275,527.23105,412.59745,454.90515,333.990425,257.5888,639.437275,516.575725,227.589425,285.754175,404.220575,480.770375,547.51425,613.137525,477.977675,497.960075,465.6526,424.950325,470.9984,347.42555,979.7983
23,11170625,28528.196825,697.048275,294.1133,349.469475,950.488325,1232.75175,1600.1521,1603.86455,1473.7699,1356.099975,1132.4194,1043.6316,813.61215,614.737725,1238.66375,775.465925,288.6261,410.14365,896.3144,1388.60495,1565.035075,1350.78645,1180.778525,1055.69915,908.6199,938.06645,821.489525,587.324375,1960.420775
23,11170630,29297.4507,1172.42985,629.6954,598.830425,523.977275,661.583025,845.91965,1147.6996,1451.221025,1458.03975,1119.2045,948.553275,843.7442,561.4037,1424.82195,1101.3592,568.89825,629.04185,653.2993,840.577575,1125.045775,1345.6202,1540.42465,1392.46175,1108.042225,1052.112175,1034.6189,705.7323,2813.09365
23,11170640,8588.764075,303.498775,106.14155,150.363475,158.746975,228.368125,348.6212,371.022275,360.61045,345.4893,273.10585,276.85415,378.2196,278.554875,412.840525,277.18295,125.992425,151.46605,197.6297,282.295225,374.3868,320.816925,354.010325,343.2596,257.23135,430.944525,372.7497,233.593325,874.768175
