YEAR	CT_NM	H_DNG_NM	AREA
2017	서초구	반포4동	1.43
2017	서초구	방배본동	0.67
2017	서초구	방배1동	0.7
2017	서초구	방배2동	1.93
2017	서초구	방배3동	2.4
2017	서초구	방배4동	0.98
2017	서초구	양재1동	5.76
2017	서초구	양재2동	7.58
2017	서초구	내곡동	12.68
2017	강남구	소계	39.5
2017	강남구	신사동	1.89
2017	강남구	논현1동	1.25
2017	강남구	논현2동	1.47
2017	강남구	삼성1동	1.94
2017	강남구	삼성2동	1.24
2017	강남구	대치1동	0.79
2017	강남구	대치4동	0.73
2017	강남구	역삼1동	2.35
2017	강남구	역삼2동	1.15
2017	강남구	도곡1동	1.02
2017	강남구	도곡2동	1.02
2017	강남구	개포1동	1.27
2017	강남구	개포4동	1.49
2017	강남구	일원본동	2.58
2017	강남구	일원1동	0.92
2017	강남구	일원2동	1.24
2017	강남구	수서동	1.43
2017	강남구	세곡동	6.36
2017	강남구	압구정동	2.53
2017	강남구	청담동	2.33
2017	강남구	대치2동	2
2017	강남구	개포2동	2.51
2017	송파구	소계	33.87
2017	송파구	풍납1동	0.77
2017	송파구	풍납2동	1.59
2017	송파구	거여1동	0.51
2017	송파구	거여2동	0.53
2017	송파구	마천1동	0.58
2017	송파구	마천2동	0.89
2017	송파구	방이1동	0.5
2017	송파구	방이2동	0.8
2017	송파구	오륜동	3.17
2017	송파구	오금동	1.65
2017	송파구	송파1동	0.79
2017	송파구	송파2동	0.53
2017	송파구	석촌동	0.95
2017	송파구	삼전동	0.95
2017	송파구	가락본동	1.13
2017	송파구	가락1동	1.34
2017	송파구	가락2동	0.96
2017	송파구	문정1동	0.56
2017	송파구	문정2동	2.2
2017	송파구	장지동	1.37
2017	송파구	위례동	2.55
2017	송파구	잠실본동	0.94
2017	송파구	잠실4동	1.56
2017	송파구	잠실6동	2.79
2017	송파구	잠실7동	0.6
2017	송파구	잠실2동	2.18
2017	송파구	잠실3동	1.49
2017	강동구	소계	24.59
2017	강동구	강일동	2.8
2017	강동구	상일동	2.65
2017	강동구	명일1동	0.61
2017	강동구	명일2동	0.97
2017	강동구	고덕1동	1.73
2017	강동구	고덕2동	2.01
2017	강동구	암사2동	1.18
2017	강동구	암사3동	2.51
2017	강동구	천호1동	0.71
2017	강동구	천호3동	0.79
2017	강동구	성내1동	0.58
2017	강동구	성내2동	0.67
2017	강동구	성내3동	0.71
2017	강동구	둔촌1동	0.92
2017	강동구	둔촌2동	0.98
2017	강동구	암사1동	1.02
2017	강동구	천호2동	1.57
2017	강동구	길동	2.17
