time,code,pop_total,pop_man_0_9,pop_man_10_14,pop_man_15_19,pop_man_20_24,pop_man_25_29,pop_man_30_34,pop_man_35_39,pop_man_40_44,pop_man_45_49,pop_man_50_54,pop_man_55_59,pop_man_60_64,pop_man_65_69,pop_man_70_over,pop_woman_0_9,pop_woman_10_14,pop_woman_15_19,pop_woman_20_24,pop_woman_25_29,pop_woman_30_34,pop_woman_35_39,pop_woman_40_44,pop_woman_45_49,pop_woman_50_54,pop_woman_55_59,pop_woman_60_64,pop_woman_65_69,pop_woman_70_over
23,11110710,14004.35545,337.73585,168.867975,226.03555,464.78845,666.5057,678.945675,695.218825,469.4173,615.645625,598.197525,634.369375,539.286,347.4495,557.24795,363.229275,151.00515,243.0827,734.0574,795.37935,640.8131,622.42005,450.4531,489.355375,482.2716,549.101775,393.277525,321.0048,769.1922
23,11140520,9222.28285,269.025575,39.131025,59.74925,260.66895,457.195575,561.742075,756.387075,649.572375,663.813975,455.76415,418.31305,315.190425,213.176975,327.90735,99.14865,48.44775,422.45875,211.789925,347.129075,376.908,354.19715,371.81545,362.102525,252.19285,241.30435,235.568925,83.385725,368.1962
23,11140540,10213.100625,169.62325,71.038625,65.547075,240.95105,386.491975,637.899925,675.97835,641.7638,522.5588,498.998925,519.951775,420.383375,310.178925,345.3327,186.971475,66.4445,87.206,245.943725,336.1973,457.337025,454.618425,380.18495,441.63675,357.162225,442.922075,398.260775,282.8193,568.69775
23,11140550,11667.23015,336.248025,102.742325,95.58195,441.916,620.932875,741.9965,854.36905,744.386575,862.4005,535.23855,470.77525,427.404075,248.91025,446.28735,247.21555,95.0829,162.9545,563.808125,577.247875,427.584975,461.41105,345.382125,426.942975,282.09475,305.57985,271.888625,160.241925,410.605425
23,11140570,9940.469225,259.7703,86.5901,431.745675,958.0876,588.663875,419.32335,507.2111,416.06645,486.5956,366.5148,375.92515,237.791225,213.326525,301.537125,156.530075,73.834975,355.5757,813.960075,402.15675,292.414175,255.735325,205.5727,250.29385,227.911125,250.57635,195.638475,168.326375,642.794375
23,11140580,7813.791725,100.1702,57.7254,208.298225,637.366825,498.52775,365.313275,399.644775,320.71495,300.59215,244.2178,262.81815,222.085875,169.9013,226.51895,62.5419,36.38795,258.469175,776.0215,453.032625,317.081525,299.94165,178.11525,207.380625,216.9749,227.7174,194.156875,179.936525,392.1379
23,11140590,19243.009225,198.9167,96.10575,299.999175,895.94155,1080.235975,1241.940475,1253.89235,882.748675,934.46045,669.113125,776.590725,543.5081,422.9338,516.379875,154.27135,85.303025,322.564275,1138.394475,1241.624425,1006.0062,858.16325,727.6551,646.256325,682.891975,682.27665,642.463675,410.389975,831.981925
23,11140605,8267.935825,131.149025,53.430975,67.05565,260.839925,349.1112,410.710375,439.741,411.07845,559.818975,483.67405,525.7188,362.969925,256.389575,484.91305,97.862575,42.548975,75.702275,304.2554,351.854625,282.30105,214.18325,198.41915,252.185725,255.5214,317.4176,281.6297,209.055125,588.398175
23,11140615,34578.7168,165.656425,120.710875,313.524525,2361.9134,2179.520975,2529.572425,2404.88585,1512.34695,1330.94865,988.237525,959.82315,663.693825,406.42775,691.875125,290.798675,125.2908,322.777,1572.15925,2000.77965,2008.1438,2281.559475,1651.533275,1687.121875,1286.398825,1490.7561,1130.3986,603.8945,1497.9674
23,11140625,16135.173225,394.9137,218.161525,404.001025,551.81225,689.136175,736.7581,748.848825,597.453075,681.720425,561.7503,529.583425,441.66815,404.428125,755.936975,383.7885,184.4561,368.475825,680.101175,726.21935,664.6454,630.941125,585.00185,605.807525,571.505825,596.5403,668.46835,425.25305,1327.796375
